1995,1996,1997,1998,1999,2000,2001,2002,2019
Peripheral Vascular Diseases (later Vascular),Musculoskeletal,Hypertension,Effective Practice and Organisation of Care,Effective Practice and Organisation of Care,"Ear, Nose and Throat Disorders","Ear, Nose and Throat Disorders","Ear, Nose and Throat Disorders","Developmental, Psychosocial and Learning Problems"
Pregnancy and Childbirth,Neonatal,Incontinence,Epilepsy,Epilepsy,Effective Practice and Organisation of Care,Effective Practice and Organisation of Care,Effective Practice and Organisation of Care,Drugs and Alcohol
Stroke,Oral Health,Infectious Diseases,Eyes and Vision,Eyes and Vision,Epilepsy,Epilepsy,Epilepsy,"Ear, Nose and Throat Disorders"
Subfertility (later merged into Gynaecology and Fertility),Parasitic Diseases (later Infectious Diseases),Inflammatory Bowel Disease,Fertility Regulation,Fertility Regulation,Eyes and Vision,Eyes and Vision,Eyes and Vision,Effective Practice and Organisation of Care
Tobacco Addiction,Peripheral Vascular Diseases (later Vascular),Menstrual Disorders and Subfertility (later Gynaecology and Fertility),"Gynaecological Cancer (later Gynaecological, Neuro-oncology and Orphan Cancer)","Gynaecological Cancer (later Gynaecological, Neuro-oncology and Orphan Cancer)",Fertility Regulation,Fertility Regulation,Fertility Regulation,Emergency and Critical Care
Wounds,Pregnancy and Childbirth,Movement Disorders,Heart,Heart,"Gynaecological Cancer (later Gynaecological, Neuro-oncology and Orphan Cancer)","Gynaecological Cancer (later Gynaecological, Neuro-oncology and Orphan Cancer)","Gynaecological Cancer (later Gynaecological, Neuro-oncology and Orphan Cancer)",Epilepsy
,Schizophrenia,Musculoskeletal,Hepato-Biliary,Hepato-Biliary,Heart,Haematological Malignancies,Haematological Malignancies,Eyes and Vision
,Stroke,Neonatal,HIV/AIDS (later merged into Infectious Diseases),HIV/AIDS (later merged into Infectious Diseases),Hepato-Biliary,Heart,Heart,Fertility Regulation
,Subfertility (later merged into Gynaecology and Fertility),Oral Health,Hypertension,Hypertension,HIV/AIDS (later merged into Infectious Diseases),Hepato-Biliary,Hepato-Biliary,"Gynaecological, Neuro-oncology and Orphan Cancer"
,Tobacco Addiction,Peripheral Vascular Diseases (later Vascular),Incontinence,Incontinence,Hypertension,HIV/AIDS (later merged into Infectious Diseases),HIV/AIDS (later merged into Infectious Diseases),Gynaecology and Fertility
,,Pregnancy and Childbirth,Infectious Diseases,Infectious Diseases,Incontinence,Hypertension,Hypertension,Haematological Malignancies
,,Prostatic and Urologic Cancers (later Urology),Inflammatory Bowel Disease,Inflammatory Bowel Disease,Infectious Diseases,Incontinence,Incontinence,Heart
,,Renal (later Kidney and Transplant),Injuries,Injuries,Inflammatory Bowel Disease,Infectious Diseases,Infectious Diseases,Hepato-Biliary
,,Schizophrenia,Lung Cancer,Lung Cancer,Injuries,Inflammatory Bowel Disease,Inflammatory Bowel Disease,Hypertension
,,Stroke,Menstrual Disorders and Subfertility (later Gynaecology and Fertility),Menstrual Disorders and Subfertility (later Gynaecology and Fertility),Lung Cancer,Injuries,Injuries,Incontinence
,,Subfertility (merged into Gynaecology and Fertility),Movement Disorders,Movement Disorders,Menstrual Disorders and Subfertility (later Gynaecology and Fertility),Lung Cancer,Lung Cancer,Infectious Diseases
,,Tobacco Addiction,Multiple Sclerosis (later Multiple Sclerosis and Rare Diseases of the CNS),Multiple Sclerosis (later Multiple Sclerosis and Rare Diseases of the CNS),Metabolic and Endocrine Disorders,Menstrual Disorders and Subfertility (later Gynaecology and Fertility),Menstrual Disorders and Subfertility (later Gynaecology and Fertility),Inflammatory Bowel Disease
,,Wounds,Musculoskeletal,Musculoskeletal,Movement Disorders,Metabolic and Endocrine Disorders,Metabolic and Endocrine Disorders,Injuries
,,,"Musculoskeletal Injuries (later Bone, Joint, and Muscle Trauma)","Musculoskeletal Injuries (later Bone, Joint, and Muscle Trauma)",Multiple Sclerosis (later Multiple Sclerosis and Rare Diseases of the CNS),Movement Disorders,Movement Disorders,Kidney and Transplant
,,,Neonatal,Neonatal,Musculoskeletal,Multiple Sclerosis (later Multiple Sclerosis and Rare Diseases of the CNS),Multiple Sclerosis (later Multiple Sclerosis and Rare Diseases of the CNS),Lung Cancer
,,,Neuromuscular Disease,Neuromuscular Disease,"Musculoskeletal Injuries (later Bone, Joint, and Muscle Trauma)",Musculoskeletal,Musculoskeletal,Metabolic and Endocrine Disorders
,,,Oral Health,Oral Health,Neonatal,"Musculoskeletal Injuries (later Bone, Joint, and Muscle Trauma)","Musculoskeletal Injuries (later Bone, Joint, and Muscle Trauma)",Methodology
,,,"Pain, Palliative and Supportive Care","Pain, Palliative and Supportive Care",Neuromuscular Disease,Neonatal,Neonatal,Movement Disorders
,,,Peripheral Vascular Diseases (later Vascular),Peripheral Vascular Diseases (later Vascular),Oral Health,Neuromuscular Disease,Neuromuscular Disease,Multiple Sclerosis and Rare Diseases of the CNS
,,,Pregnancy and Childbirth,Pregnancy and Childbirth,"Pain, Palliative and Supportive Care",Oral Health,Oral Health,Musculoskeletal
,,,Prostatic and Urologic Cancers (later Urology),Prostatic and Urologic Cancers (later Urology),Peripheral Vascular Diseases (later Vascular),"Pain, Palliative and Supportive Care","Pain, Palliative and Supportive Care",Neonatal
,,,Renal (later Kidney and Transplant),Renal (later Kidney and Transplant),Pregnancy and Childbirth,Peripheral Vascular Diseases (later Vascular),Peripheral Vascular Diseases (later Vascular),Neuromuscular Disease
,,,Schizophrenia,Schizophrenia,Prostatic and Urologic Cancers (later Urology),Pregnancy and Childbirth,Pregnancy and Childbirth,Oral Health
,,,Skin,Sexually Transmitted Diseases (later Sexually Transmitted Infections),Renal (later Kidney and Transplant),Prostatic and Urologic Cancers (later Urology),Prostatic and Urologic Cancers (later Urology),"Pain, Palliative and Supportive Care"
,,,Stroke,Skin,Schizophrenia,Renal (later Kidney and Transplant),Renal (later Kidney and Transplant),Pregnancy and Childbirth
,,,Tobacco Addiction,Stroke,Sexually Transmitted Diseases,Schizophrenia,Schizophrenia,Public Health
,,,Upper Gastrointestinal & Pancreatic Diseases,Tobacco Addiction,Skin,Sexually Transmitted Diseases,Sexually Transmitted Diseases,Schizophrenia
,,,Wounds,Upper GI and Pancreatic Diseases,Stroke,Skin,Skin,Sexually Transmitted Infections
,,,,Wounds,Tobacco Addiction,Stroke,Stroke,Skin
,,,,,Upper GI and Pancreatic Diseases,Tobacco Addiction,Tobacco Addiction,Stroke
,,,,,Wounds,Upper GI and Pancreatic Diseases,Upper GI and Pancreatic Diseases,Tobacco Addiction
,,,,,,Wounds,Wounds,Upper GI and Pancreatic Diseases
,,,,,,,,Urology
,,,,,,,,Vascular
,,,,,,,,Work
,,,,,,,,Wounds
